"","filename","rng_seed","species_initiation_rate_good_species","species_initiation_rate_incipient_species","speciation_completion_rate","extinction_rate_good_species","extinction_rate_incipient_species","age","n_species_trees_samples","mutation_rate","n_alignments","sequence_length","mcmc_chainlength","n_beast_runs","version"
"1","article_0_0_0_0_0.RDa","1","0.1","0.1","0.1","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"2","article_0_0_0_0_1.RDa","1","0.1","0.1","0.1","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"3","article_0_0_0_0_2.RDa","1","0.1","0.1","0.1","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"4","article_0_0_0_1_0.RDa","1","0.1","0.1","0.1","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"5","article_0_0_0_1_1.RDa","1","0.1","0.1","0.1","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"6","article_0_0_0_1_2.RDa","1","0.1","0.1","0.1","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"7","article_0_0_0_2_0.RDa","1","0.1","0.1","0.1","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"8","article_0_0_0_2_1.RDa","1","0.1","0.1","0.1","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"9","article_0_0_0_2_2.RDa","1","0.1","0.1","0.1","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"10","article_0_0_1_0_0.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"11","article_0_0_1_0_1.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"12","article_0_0_1_0_2.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"13","article_0_0_1_1_0.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"14","article_0_0_1_1_1.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"15","article_0_0_1_1_2.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"16","article_0_0_1_2_0.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"17","article_0_0_1_2_1.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"18","article_0_0_1_2_2.RDa","1","0.1","0.1","0.1","0.1","0.1","15","2","0.001","2","1e+05","1e+06","2","0.1"
"19","article_0_0_2_0_0.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"20","article_0_0_2_0_1.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"21","article_0_0_2_0_2.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.1","2","1e+05","1e+06","2","0.1"
"22","article_0_0_2_1_0.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"23","article_0_0_2_1_1.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"24","article_0_0_2_1_2.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.01","2","1e+05","1e+06","2","0.1"
"25","article_0_0_2_2_0.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"26","article_0_0_2_2_1.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"27","article_0_0_2_2_2.RDa","1","0.1","0.1","0.1","0.2","0.2","15","2","0.001","2","1e+05","1e+06","2","0.1"
"28","article_0_0_3_0_0.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"29","article_0_0_3_0_1.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"30","article_0_0_3_0_2.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.1","2","1e+05","1e+06","2","0.1"
"31","article_0_0_3_1_0.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.01","2","1000","1e+06","2","0.1"
"32","article_0_0_3_1_1.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.01","2","10000","1e+06","2","0.1"
"33","article_0_0_3_1_2.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"34","article_0_0_3_2_0.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"35","article_0_0_3_2_1.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
"36","article_0_0_3_2_2.RDa","1","0.1","0.1","0.1","0.4","0.4","15","2","0.001","2","1e+05","1e+06","2","0.1"
"37","article_0_1_0_0_0.RDa","1","0.1","0.1","0.3","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"38","article_0_1_0_0_1.RDa","1","0.1","0.1","0.3","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"39","article_0_1_0_0_2.RDa","1","0.1","0.1","0.3","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"40","article_0_1_0_1_0.RDa","1","0.1","0.1","0.3","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"41","article_0_1_0_1_1.RDa","1","0.1","0.1","0.3","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"42","article_0_1_0_1_2.RDa","1","0.1","0.1","0.3","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"43","article_0_1_0_2_0.RDa","1","0.1","0.1","0.3","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"44","article_0_1_0_2_1.RDa","1","0.1","0.1","0.3","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"45","article_0_1_0_2_2.RDa","1","0.1","0.1","0.3","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"46","article_0_1_1_0_0.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"47","article_0_1_1_0_1.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"48","article_0_1_1_0_2.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"49","article_0_1_1_1_0.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"50","article_0_1_1_1_1.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"51","article_0_1_1_1_2.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"52","article_0_1_1_2_0.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"53","article_0_1_1_2_1.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"54","article_0_1_1_2_2.RDa","1","0.1","0.1","0.3","0.1","0.1","15","2","0.001","2","1e+05","1e+06","2","0.1"
"55","article_0_1_2_0_0.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"56","article_0_1_2_0_1.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"57","article_0_1_2_0_2.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.1","2","1e+05","1e+06","2","0.1"
"58","article_0_1_2_1_0.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"59","article_0_1_2_1_1.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"60","article_0_1_2_1_2.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.01","2","1e+05","1e+06","2","0.1"
"61","article_0_1_2_2_0.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"62","article_0_1_2_2_1.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"63","article_0_1_2_2_2.RDa","1","0.1","0.1","0.3","0.2","0.2","15","2","0.001","2","1e+05","1e+06","2","0.1"
"64","article_0_1_3_0_0.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"65","article_0_1_3_0_1.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"66","article_0_1_3_0_2.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.1","2","1e+05","1e+06","2","0.1"
"67","article_0_1_3_1_0.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.01","2","1000","1e+06","2","0.1"
"68","article_0_1_3_1_1.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.01","2","10000","1e+06","2","0.1"
"69","article_0_1_3_1_2.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"70","article_0_1_3_2_0.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"71","article_0_1_3_2_1.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
"72","article_0_1_3_2_2.RDa","1","0.1","0.1","0.3","0.4","0.4","15","2","0.001","2","1e+05","1e+06","2","0.1"
"73","article_0_2_0_0_0.RDa","1","0.1","0.1","1","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"74","article_0_2_0_0_1.RDa","1","0.1","0.1","1","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"75","article_0_2_0_0_2.RDa","1","0.1","0.1","1","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"76","article_0_2_0_1_0.RDa","1","0.1","0.1","1","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"77","article_0_2_0_1_1.RDa","1","0.1","0.1","1","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"78","article_0_2_0_1_2.RDa","1","0.1","0.1","1","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"79","article_0_2_0_2_0.RDa","1","0.1","0.1","1","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"80","article_0_2_0_2_1.RDa","1","0.1","0.1","1","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"81","article_0_2_0_2_2.RDa","1","0.1","0.1","1","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"82","article_0_2_1_0_0.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"83","article_0_2_1_0_1.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"84","article_0_2_1_0_2.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"85","article_0_2_1_1_0.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"86","article_0_2_1_1_1.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"87","article_0_2_1_1_2.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"88","article_0_2_1_2_0.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"89","article_0_2_1_2_1.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"90","article_0_2_1_2_2.RDa","1","0.1","0.1","1","0.1","0.1","15","2","0.001","2","1e+05","1e+06","2","0.1"
"91","article_0_2_2_0_0.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"92","article_0_2_2_0_1.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"93","article_0_2_2_0_2.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.1","2","1e+05","1e+06","2","0.1"
"94","article_0_2_2_1_0.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"95","article_0_2_2_1_1.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"96","article_0_2_2_1_2.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.01","2","1e+05","1e+06","2","0.1"
"97","article_0_2_2_2_0.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"98","article_0_2_2_2_1.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"99","article_0_2_2_2_2.RDa","1","0.1","0.1","1","0.2","0.2","15","2","0.001","2","1e+05","1e+06","2","0.1"
"100","article_0_2_3_0_0.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"101","article_0_2_3_0_1.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"102","article_0_2_3_0_2.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.1","2","1e+05","1e+06","2","0.1"
"103","article_0_2_3_1_0.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.01","2","1000","1e+06","2","0.1"
"104","article_0_2_3_1_1.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.01","2","10000","1e+06","2","0.1"
"105","article_0_2_3_1_2.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"106","article_0_2_3_2_0.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"107","article_0_2_3_2_1.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
"108","article_0_2_3_2_2.RDa","1","0.1","0.1","1","0.4","0.4","15","2","0.001","2","1e+05","1e+06","2","0.1"
"109","article_0_3_0_0_0.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.1","2","1000","1e+06","2","0.1"
"110","article_0_3_0_0_1.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.1","2","10000","1e+06","2","0.1"
"111","article_0_3_0_0_2.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.1","2","1e+05","1e+06","2","0.1"
"112","article_0_3_0_1_0.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.01","2","1000","1e+06","2","0.1"
"113","article_0_3_0_1_1.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.01","2","10000","1e+06","2","0.1"
"114","article_0_3_0_1_2.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.01","2","1e+05","1e+06","2","0.1"
"115","article_0_3_0_2_0.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.001","2","1000","1e+06","2","0.1"
"116","article_0_3_0_2_1.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.001","2","10000","1e+06","2","0.1"
"117","article_0_3_0_2_2.RDa","1","0.1","0.1","1e+06","0","0","15","2","0.001","2","1e+05","1e+06","2","0.1"
"118","article_0_3_1_0_0.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.1","2","1000","1e+06","2","0.1"
"119","article_0_3_1_0_1.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.1","2","10000","1e+06","2","0.1"
"120","article_0_3_1_0_2.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.1","2","1e+05","1e+06","2","0.1"
"121","article_0_3_1_1_0.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.01","2","1000","1e+06","2","0.1"
"122","article_0_3_1_1_1.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.01","2","10000","1e+06","2","0.1"
"123","article_0_3_1_1_2.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.01","2","1e+05","1e+06","2","0.1"
"124","article_0_3_1_2_0.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.001","2","1000","1e+06","2","0.1"
"125","article_0_3_1_2_1.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.001","2","10000","1e+06","2","0.1"
"126","article_0_3_1_2_2.RDa","1","0.1","0.1","1e+06","0.1","0.1","15","2","0.001","2","1e+05","1e+06","2","0.1"
"127","article_0_3_2_0_0.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.1","2","1000","1e+06","2","0.1"
"128","article_0_3_2_0_1.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.1","2","10000","1e+06","2","0.1"
"129","article_0_3_2_0_2.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.1","2","1e+05","1e+06","2","0.1"
"130","article_0_3_2_1_0.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.01","2","1000","1e+06","2","0.1"
"131","article_0_3_2_1_1.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.01","2","10000","1e+06","2","0.1"
"132","article_0_3_2_1_2.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.01","2","1e+05","1e+06","2","0.1"
"133","article_0_3_2_2_0.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.001","2","1000","1e+06","2","0.1"
"134","article_0_3_2_2_1.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.001","2","10000","1e+06","2","0.1"
"135","article_0_3_2_2_2.RDa","1","0.1","0.1","1e+06","0.2","0.2","15","2","0.001","2","1e+05","1e+06","2","0.1"
"136","article_0_3_3_0_0.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.1","2","1000","1e+06","2","0.1"
"137","article_0_3_3_0_1.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.1","2","10000","1e+06","2","0.1"
"138","article_0_3_3_0_2.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.1","2","1e+05","1e+06","2","0.1"
"139","article_0_3_3_1_0.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.01","2","1000","1e+06","2","0.1"
"140","article_0_3_3_1_1.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.01","2","10000","1e+06","2","0.1"
"141","article_0_3_3_1_2.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.01","2","1e+05","1e+06","2","0.1"
"142","article_0_3_3_2_0.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.001","2","1000","1e+06","2","0.1"
"143","article_0_3_3_2_1.RDa","1","0.1","0.1","1e+06","0.4","0.4","15","2","0.001","2","10000","1e+06","2","0.1"
